,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2022-05-21,王維中,郭郁政,鋼龍,布里悍,林羿豪,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,林辰勳,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,龍德力,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,
2022-05-19,郭郁政,鋼龍,布里悍,林羿豪,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,林辰勳,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,龍德力,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,林威廷,
2022-05-18,郭郁政,鋼龍,布里悍,林羿豪,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,林辰勳,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,龍德力,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,林威廷,曹祐齊
2022-05-17,郭郁政,鋼龍,布里悍,林羿豪,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,林辰勳,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,龍德力,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,林威廷,
2022-05-16,郭郁政,鋼龍,布里悍,林羿豪,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,林辰勳,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,龍德力,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,林威廷,廖任磊
2022-05-15,郭郁政,鋼龍,布里悍,林羿豪,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,林辰勳,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,龍德力,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,林威廷,
2022-04-27,郭郁政,鋼龍,布里悍,林羿豪,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,曾陶鎔,,,
2022-04-20,郭郁政,鋼龍,布里悍,林羿豪,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,曾陶鎔,劉昱言,王維中,
2022-04-19,鋼龍,布里悍,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,曾陶鎔,劉昱言,王維中,廖任磊,呂偉晟,
2022-04-18,鋼龍,布里悍,林逸達,伍鐸,陳冠偉,羅華韋,陳明軒,王玉譜,吉力吉撈．鞏冠,劉時豪,蔣少宏,李凱威,張政禹,林智勝,劉基鴻,拿莫．伊漾,吳東融,石翔宇,郭天信,張祐銘,邱辰,陳品捷,劉昱言,王維中,廖任磊,呂偉晟,,
