,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2022-05-24,陳鴻文,張耿豪,郭俊麟,王尉永,岳少華,范米特,李建勳,歐書誠,陳冠勳,曾峻岳,威迪茲,陳仕朋,林琨笙,張進德,戴培峰,王勝偉,莊韋恩,蔣智賢,李宗賢,葉竹軒,范國宸,董子恩,陳真,申皓瑋,張冠廷,孔念恩,,
2022-05-21,陳鴻文,張耿豪,郭俊麟,王尉永,岳少華,范米特,李建勳,歐書誠,陳冠勳,曾峻岳,威迪茲,陳仕朋,林琨笙,張進德,戴培峰,王勝偉,莊韋恩,蔣智賢,李宗賢,葉竹軒,范國宸,董子恩,陳真,申皓瑋,張冠廷,孔念恩,王苡丞,
2022-05-19,郭俊麟,王尉永,岳少華,范米特,李建勳,歐書誠,陳冠勳,曾峻岳,威迪茲,陳仕朋,林琨笙,張進德,戴培峰,王勝偉,莊韋恩,蔣智賢,李宗賢,葉竹軒,范國宸,董子恩,陳真,申皓瑋,張冠廷,孔念恩,王苡丞,霸帝士,江國豪,
2022-05-17,郭俊麟,王尉永,岳少華,范米特,李建勳,歐書誠,陳冠勳,曾峻岳,威迪茲,陳仕朋,林琨笙,張進德,戴培峰,王勝偉,莊韋恩,蔣智賢,李宗賢,葉竹軒,范國宸,董子恩,陳真,申皓瑋,孔念恩,王苡丞,霸帝士,江國豪,王正棠,
2022-05-14,郭俊麟,王尉永,岳少華,范米特,李建勳,歐書誠,陳冠勳,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,王勝偉,蔣智賢,李宗賢,葉竹軒,范國宸,董子恩,申皓瑋,孔念恩,王苡丞,霸帝士,江國豪,王正棠,,,,
2022-05-13,郭俊麟,王尉永,岳少華,范米特,李建勳,歐書誠,陳冠勳,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,王勝偉,蔣智賢,李宗賢,葉竹軒,范國宸,董子恩,申皓瑋,孔念恩,王苡丞,霸帝士,江國豪,王正棠,楊瑞承,高孝儀,陽耀勳,
2022-05-10,郭俊麟,王尉永,岳少華,范米特,李建勳,歐書誠,陳冠勳,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,王勝偉,蔣智賢,李宗賢,葉竹軒,范國宸,董子恩,申皓瑋,王苡丞,霸帝士,江國豪,王正棠,楊瑞承,高孝儀,陽耀勳,于森旭,
2022-05-09,王尉永,岳少華,范米特,李建勳,歐書誠,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,王勝偉,蔣智賢,李宗賢,葉竹軒,范國宸,董子恩,申皓瑋,王苡丞,江國豪,王正棠,楊瑞承,高孝儀,陽耀勳,于森旭,優瑪,高國輝,江少慶,楊晉豪
2022-05-07,王尉永,岳少華,范米特,李建勳,歐書誠,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,蔣智賢,李宗賢,范國宸,董子恩,申皓瑋,王苡丞,江國豪,王正棠,楊瑞承,高孝儀,于森旭,優瑪,高國輝,江少慶,楊晉豪,王詩聰,,
2022-05-05,王尉永,岳少華,范米特,李建勳,歐書誠,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,蔣智賢,李宗賢,范國宸,董子恩,申皓瑋,王苡丞,江國豪,王正棠,楊瑞承,高孝儀,于森旭,優瑪,高國輝,江少慶,楊晉豪,王詩聰,陳鴻文,
2022-05-04,王尉永,范米特,李建勳,歐書誠,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,李宗賢,范國宸,董子恩,申皓瑋,王苡丞,江國豪,王正棠,楊瑞承,高孝儀,于森旭,優瑪,高國輝,江少慶,楊晉豪,王詩聰,陳鴻文,游霆崴,高國麟,
2022-05-03,王尉永,范米特,李建勳,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,李宗賢,范國宸,董子恩,申皓瑋,王苡丞,江國豪,王正棠,楊瑞承,高孝儀,于森旭,優瑪,高國輝,江少慶,楊晉豪,王詩聰,陳鴻文,游霆崴,高國麟,張瑞麟,
2022-04-30,王尉永,范米特,李建勳,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,董子恩,申皓瑋,王苡丞,江國豪,王正棠,楊瑞承,高孝儀,于森旭,優瑪,江少慶,楊晉豪,王詩聰,陳鴻文,游霆崴,高國麟,張瑞麟,張進德,莊韋恩,
2022-04-26,王尉永,范米特,李建勳,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,董子恩,申皓瑋,王苡丞,江國豪,王正棠,高孝儀,于森旭,優瑪,江少慶,楊晉豪,陳鴻文,游霆崴,高國麟,張瑞麟,張進德,莊韋恩,林哲瑄,林益全,
2022-04-25,王尉永,范米特,李建勳,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,楊晉豪,陳鴻文,游霆崴,高國麟,張瑞麟,張進德,林哲瑄,林益全,,,,,,
2022-04-21,王尉永,范米特,李建勳,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,楊晉豪,陳鴻文,游霆崴,高國麟,張瑞麟,張進德,林哲瑄,林益全,岳少華,霸帝士,王勝偉,陽耀勳,蔣智賢,
2022-04-20,王尉永,范米特,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,楊晉豪,陳鴻文,游霆崴,高國麟,張瑞麟,張進德,林哲瑄,林益全,岳少華,霸帝士,王勝偉,陽耀勳,蔣智賢,,
2022-04-18,王尉永,范米特,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,楊晉豪,陳鴻文,游霆崴,高國麟,張瑞麟,張進德,林哲瑄,林益全,岳少華,霸帝士,王勝偉,陽耀勳,蔣智賢,高國輝,
2022-04-14,王尉永,范米特,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,陳鴻文,高國麟,張瑞麟,張進德,林哲瑄,林益全,岳少華,霸帝士,王勝偉,陽耀勳,蔣智賢,高國輝,李宗賢,范玉禹,
2022-04-12,王尉永,范米特,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,陳鴻文,高國麟,張進德,林哲瑄,林益全,岳少華,霸帝士,王勝偉,陽耀勳,蔣智賢,高國輝,李宗賢,范玉禹,,
2022-04-10,王尉永,范米特,曾峻岳,威迪茲,陳仕朋,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,陳鴻文,高國麟,張進德,林哲瑄,林益全,岳少華,霸帝士,王勝偉,陽耀勳,蔣智賢,高國輝,李宗賢,范玉禹,洪聖欽,
2022-04-09,王尉永,范米特,曾峻岳,陳仕朋,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,陳鴻文,高國麟,張進德,林哲瑄,林益全,岳少華,霸帝士,王勝偉,陽耀勳,蔣智賢,高國輝,李宗賢,范玉禹,洪聖欽,歐書誠,
2022-04-02,王尉永,范米特,曾峻岳,林琨笙,戴培峰,范國宸,申皓瑋,江國豪,王正棠,于森旭,江少慶,陳鴻文,高國麟,張進德,林哲瑄,林益全,岳少華,霸帝士,王勝偉,陽耀勳,蔣智賢,高國輝,李宗賢,范玉禹,歐書誠,李子強,李建勳,
